username,email,password,pin,phone,dob,nationality,pan,city,pincode,User_ID,Account_Age_Days,Location,Device_Type,Payment_Method,Transaction_Amount,Transaction_Frequency,Obfuscation_Level,Synthetic_Identity,Fraudulent,IP_Address,Email_Domain,Time_Between_Txns,Avg_Txn_Amount,Transaction_Location,Account_Number,Bank_Name,IFSC_Code,Account_Status
lalnayantara,shajivika@karpe-thakur.org,Z2vs9ZuB*(,4500,07659130454,1992-11-25,Indian,VIBTS1094P,Raebareli,675406,b8ce270d-0b47-4764-9b1d-96eb3f23f9e5,4951,India,Mobile,Debit Card,774.92,37,Low,False,False,205.54.179.184,Mumbai,71.55,39.22,India,556993741636,IDFC,IDFC414672,Active
nirvimandal,cmagar@yahoo.com,ncaN+6SqXr,6364,03898388894,1978-06-08,Indian,XAQTZ5505M,Gangtok,500514,9264e260-1fae-453f-b81f-345edf4923fe,4085,India,Tablet,Net Banking,472.72,37,Low,False,False,20.155.100.171,Delhi,24.63,84.02,India,543583773765,HSBC,HSBC891386,Closed
manjari26,savantkaira@yahoo.com,76N9Y!3gM(,1241,+916536367569,1969-08-31,Indian,MCJPR8103H,Tiruppur,903322,5d27da6b-a41e-47b3-bda2-27e28a159457,2697,India,Desktop,UPI,677.06,84,High,False,False,13.254.236.24,India,58.1,23.11,India,222873306731,HSBC,HSBC838623,Active
xdora,ychana@yahoo.com,pr%G7YcH%b,6689,05780326078,1966-11-20,Indian,OBAPG4538G,Vasai-Virar,325009,201b3333-1a0d-4748-8e7b-c59e60067ad8,3565,India,Tablet,UPI,420.08,7,Low,False,False,135.95.94.137,Chennai,79.31,38.0,India,660961238546,SBI,SBI157814,Active
bobalhimmat,aaryahi28@yahoo.com,w^4UTpxV)9,6409,03381930469,1978-12-08,Indian,LEQNQ8712T,Allahabad,753173,6a488d1b-e62d-4f67-98db-958c649e7f66,3597,India,Desktop,Credit Card,812.89,81,Low,False,False,35.141.175.177,Mumbai,41.05,52.53,India,436736720339,IDFC,IDFC258211,Suspended
onkardeol,oorja41@gmail.com,3Wv22O2j!9,4085,05319650949,1994-12-15,Indian,QAHTV6145D,Aligarh,212328,6402c1ff-f67b-4eb6-8183-77628eead36e,1969,India,Desktop,Credit Card,157.73,93,High,False,False,135.228.70.180,Kolkata,25.42,51.71,India,936911661024,IDFC,IDFC423373,Active
ambledivyansh,devanshratta@kannan.com,_6xGVY^un4,2468,+918279356758,1985-06-09,Indian,TUJIO4983T,Bhilai,277131,430f2b2e-bbc3-4b20-8bba-afc54ec9e64e,1323,India,Desktop,Debit Card,625.95,69,High,True,False,97.5.19.127,Chennai,41.45,15.26,India,136465602196,PNB,PNB963002,Active
geradivij,anikajha@hotmail.com,7D7Dj$)A#L,2175,+910497184443,1957-08-18,Indian,BJVFH2327J,Hajipur,206247,2a341c12-1c09-4443-901e-e1f42d92039f,1509,India,Desktop,UPI,817.33,35,High,False,False,61.80.50.0,India,87.53,30.08,India,496421548746,BOB,BOB585300,Active
lbath,krishnanmehul@biswas-dara.com,tA1Hz4Q4^@,5792,0799277474,1959-02-11,Indian,YYNDX7740I,Tadepalligudem,752950,d9f9cd89-943b-46e3-9e1f-3363b1ea8fdb,693,India,Desktop,UPI,516.43,90,Low,False,False,140.79.161.11,Kolkata,42.42,36.09,India,680315503060,KOTAK,KOTAK802030,Closed
chiragsamra,stuvan57@gmail.com,%d6xXXiFH),9461,+919674563400,2005-03-13,Indian,RNYWL3302N,Mathura,116999,9c0f7379-0f53-4b12-98a4-fcb1b4475edd,4435,India,Mobile,Credit Card,285.59,41,High,False,False,223.97.245.121,Kolkata,30.34,29.29,India,235419831083,ICICI,ICICI749222,Active
nmanda,aaryahikulkarni@mani-dave.com,0lGzBdVm*X,8422,1116945858,1964-10-27,Indian,ZSPKM1424A,Malegaon,807017,21e8f525-21ed-4a1e-955f-68eb1c0f95ad,4748,India,Mobile,UPI,119.74,31,High,False,False,122.146.103.26,Mumbai,88.06,89.95,India,148548922254,ICICI,ICICI693428,Active
glal,wlad@hotmail.com,9%62NrsJip,2764,09625940799,1989-09-01,Indian,IOXEJ2402W,Bhavnagar,285557,74769ccf-084a-4669-bfc2-dec18bb3a34e,127,India,Mobile,Credit Card,413.03,74,High,False,False,50.229.127.43,Bangalore,27.85,75.26,India,805812792753,PNB,PNB332551,Active
gatik12,zgokhale@hotmail.com,U%3JKvkqt9,6116,01956173867,1987-12-15,Indian,DQGXL3251I,Bhalswa Jahangir Pur,569518,601e2752-0cf5-4558-b7a5-f015c3fa3478,3137,India,Desktop,UPI,650.01,41,Low,False,False,35.179.72.0,India,31.92,29.54,India,118610931754,HSBC,HSBC545092,Active
bmallick,samarthgole@swaminathan.com,^8KeSEfx)j,9582,6833101674,1999-11-02,Indian,TIIKX1621H,Bhavnagar,818907,2e5d1923-38b3-47f4-a8ae-2435feb5f04b,3731,India,Tablet,Net Banking,590.97,13,Low,False,False,141.66.220.234,Bangalore,10.96,73.35,India,201394794210,PNB,PNB171605,Active
ithaman,saksham60@wali-divan.biz,_%cl1cjw7Z,2930,6012736080,1974-05-04,Indian,POCFL1216G,Asansol,820241,ecd27f39-0c68-42ca-b533-239d9c5ba4b8,936,India,Desktop,Credit Card,939.64,32,Low,False,False,114.94.6.133,Mumbai,49.04,15.64,India,412408167313,SBI,SBI952597,Suspended
zainvarkey,maneivana@hotmail.com,&WZ4bD0tr4,8454,08158296736,1995-03-16,Indian,VCODR1748Y,Hapur,953493,425994f6-f0b0-476b-b497-4e736d0fe9ef,279,India,Tablet,Net Banking,834.28,37,Medium,False,False,122.19.250.229,India,11.82,50.76,India,323481184925,HDFC,HDFC379256,Active
mehul45,goyaldishani@hora.com,5YgGwg70&_,2544,+910462016826,1962-01-31,Indian,WUETY2148B,Anantapuram,297865,01977b7b-2f7e-4989-9676-6c76edec2035,2779,India,Tablet,Net Banking,100.4,17,Low,False,False,179.232.62.215,Mumbai,92.64,97.23,India,426933203001,HDFC,HDFC843941,Closed
kadeaaina,sumer96@chaudhary.net,vV7jBRWn(b,6005,+911080387339,1997-08-18,Indian,TDJLL4503B,Erode,827677,1d1df325-ba0c-48fe-bb98-d99dbd71f056,2286,India,Tablet,UPI,652.12,81,Low,False,False,140.234.155.7,Chennai,89.55,33.53,India,493254331857,AXIS,AXIS285840,Active
samiha12,myraramanathan@bir.net,wqD0Y#YHB!,2471,+911623894081,1976-03-17,Indian,UHKIE1954E,Nagercoil,815480,6a2c2c92-e3bd-481d-92f3-2b0a6d2be4e4,4650,India,Desktop,Credit Card,717.47,5,Low,False,False,21.123.14.39,Mumbai,76.69,21.22,India,258419737773,PNB,PNB663111,Active
chandaehsaan,gokul86@vig.info,)hET#$hIC0,6983,03033724471,1985-08-31,Indian,JYUDE7567A,Thane,335380,d7bd7f92-1308-49b6-bc8e-a3ee6d7c88b1,1172,India,Mobile,Credit Card,793.91,57,Medium,False,False,83.36.155.140,India,68.0,15.0,India,199776846938,ICICI,ICICI173099,Active
mamootydube,aroraeva@batta.biz,DHTaUKUu#2,9773,+919593766406,1962-09-01,Indian,ADSNV2012X,Tenali,118356,249ca4ab-747c-4284-91b1-5ff643b2502c,2020,India,Desktop,UPI,153.16,68,Low,False,False,117.33.41.128,Bangalore,74.07,53.79,India,756383830614,HDFC,HDFC811625,Closed
mannatamble,dhanush04@hotmail.com,@5(i9UVc(!,3275,6479448971,1967-05-21,Indian,YYIZQ4107V,Imphal,642742,55517a12-5e4f-4ef2-b6c2-3334f9a0e713,3731,India,Desktop,Net Banking,957.65,21,Low,False,False,164.240.112.98,Delhi,60.0,77.04,India,507215460160,ICICI,ICICI114651,Active
vedikatalwar,evasidhu@yahoo.com,!9bYw4WGm0,3479,+916601234421,2000-02-11,Indian,CUHFM4855R,Gulbarga,100993,845e631a-662c-4050-936c-af44f7a46649,3655,India,Tablet,Net Banking,508.52,9,High,False,False,5.247.93.114,Chennai,76.07,29.63,India,760699094694,PNB,PNB189877,Active
ahluwaliaeva,mannezain@desai-arya.biz,h%U0Z2qsd$,6091,+914857827011,1972-01-26,Indian,WBKDJ0510F,Amroha,183885,8711024e-7080-4cd4-99b6-f31ca7167edd,2800,India,Mobile,UPI,725.2,28,High,False,False,162.144.64.8,Mumbai,22.86,70.59,India,415196382031,CITI,CITI274441,Active
rasha57,sandalvidur@chhabra.com,$157YvgJw&,1231,02631063183,1959-09-03,Indian,UPOTQ6909Y,Giridih,779589,e5e35942-7b3a-4263-8483-1e15d9216b1a,1122,India,Tablet,Credit Card,930.27,100,High,False,False,205.100.247.188,India,91.94,62.09,India,394760865207,CITI,CITI618190,Inactive
myra16,uroy@hotmail.com,8iBAseF3+f,2902,00568424389,1998-02-15,Indian,XKKZE6021B,Meerut,124296,28f3732c-df3d-492d-ae66-e2b08dedc06b,1039,India,Desktop,Debit Card,844.2,68,High,False,True,13.117.86.8,Bangalore,26.69,55.25,India,935258547735,AXIS,AXIS419040,Active
ccontractor,aaravtripathi@shukla-balasubramanian.info,H9WjDvXI(7,4073,04861042469,1991-07-24,Indian,YFGMV5703I,Srikakulam,864095,bdab01e3-3f15-43e4-beb4-a2311437919a,789,India,Mobile,Credit Card,462.84,51,High,False,False,13.200.100.19,Chennai,22.74,49.27,India,968016847877,BOB,BOB913674,Active
aayushgandhi,siyakannan@bhatti-luthra.info,^X8IgnVZfG,5902,08719846078,1979-09-17,Indian,RFEFY3427Y,Raipur,896144,6135d3c0-6ed7-4c89-a856-d23c806ab5a5,1862,India,Desktop,Net Banking,151.42,30,Low,True,False,200.218.218.120,Delhi,13.32,47.36,India,488371089368,ICICI,ICICI845864,Active
priyanshbehl,eacharya@gmail.com,!_E2Cik8)H,9770,+917326881196,1982-04-08,Indian,CZXNU7496Y,Ranchi,422590,525fd004-66d7-4a56-b243-3504c6bf2e0e,94,India,Mobile,Debit Card,531.18,41,High,False,False,183.52.211.209,Mumbai,72.65,27.34,India,334159383365,IDFC,IDFC140767,Active
thakkarneysa,gollauthkarsh@gmail.com,vJ)1lZCrIN,3836,+911127455416,1981-03-29,Indian,YQJDR0951P,Ambala,327591,f59e1568-2c43-4b73-8ce1-c1b947556f1d,3537,India,Mobile,Credit Card,853.02,2,Low,False,False,14.111.23.73,Delhi,80.82,93.87,India,251079726987,HSBC,HSBC103053,Active
charvi64,cbehl@hotmail.com,CB0eMcajm$,3238,06321489425,1975-02-13,Indian,KJLON9189Y,Thrissur,420955,f9aaacbd-85a5-48f8-b790-42a0a82ce78c,4025,India,Mobile,Net Banking,155.98,84,Medium,False,False,208.243.188.27,Delhi,23.87,63.41,India,781967188744,BOB,BOB765029,Active
navya28,jhaverishray@chopra.com,Uc9CWQvR$&,6192,+915446634177,2002-01-03,Indian,RCFDE5314J,Howrah,746291,5d7a8578-0f10-43db-babd-eee83252f6ee,2701,India,Desktop,UPI,903.99,59,Medium,False,False,22.57.71.203,Chennai,31.78,42.23,India,526545145920,ICICI,ICICI970846,Closed
khuranamahika,prerak96@bala.com,D^9siVaHYw,1474,04614583349,1965-03-30,Indian,NPUCY8157T,Chapra,143079,cfa0032d-a832-4664-9aaf-bfe058854642,2150,India,Mobile,UPI,634.43,26,High,False,False,51.48.29.71,Kolkata,37.26,60.26,India,810022376893,HSBC,HSBC924790,Active
dvaidya,nshah@gmail.com,%8Gv(HpWqV,3544,+918867173566,1973-11-05,Indian,PNLVX4644T,Arrah,438931,5e2a4ee1-bd48-494a-845b-aeff9cd89f3c,4178,India,Tablet,Debit Card,831.93,6,Low,False,False,59.87.194.92,Mumbai,20.01,79.76,India,841955164248,HDFC,HDFC348761,Active
charvi11,aniruddhbains@gmail.com,4d+5eLg%$J,4426,7961835963,1958-12-29,Indian,EMHVB9467T,Jamnagar,566767,68bb7932-efda-4111-b813-8cc1eb8c4468,729,India,Desktop,Net Banking,287.06,90,High,False,False,3.110.171.50,Mumbai,96.04,65.14,India,418817293891,SBI,SBI376502,Active
pdada,adiratara@yahoo.com,S)36uNcogK,3674,4450676478,2000-08-13,Indian,THWOE9057D,Jodhpur,878263,1332d911-a79f-4cd1-b2f5-e2610c1b0406,220,India,Mobile,Net Banking,224.65,68,Low,False,False,53.127.168.167,India,89.9,95.39,India,932135640981,PNB,PNB358097,Active
onkarsuri,drandhawa@hans-dewan.info,#ynCKHfKG1,4378,1814666861,1974-10-23,Indian,BLKOE3505S,Srikakulam,758232,a2a562e2-124a-4ccf-af42-8a23bac04add,4076,India,Mobile,Net Banking,643.85,67,High,False,False,69.97.238.17,India,79.11,36.98,India,584020013784,ICICI,ICICI631826,Active
zchar,mannatsheth@sundaram.com,+mQ_hI)X#1,8888,6133436132,1992-12-17,Indian,WZUHO9250I,Vijayanagaram,807727,4c2913ce-04ec-4a59-bf45-20fc92489210,1108,India,Tablet,Debit Card,550.56,5,High,False,False,188.158.182.98,Delhi,38.71,10.54,India,295407578221,SBI,SBI541034,Active
aarna93,seher18@keer.com,4e@^x3DMg*,7135,9330597430,1957-01-28,Indian,XEGJT1238A,Aligarh,155315,35f82129-880e-4218-a11f-0a0bea70876b,2339,India,Desktop,Debit Card,681.74,62,Low,False,False,128.101.108.98,Delhi,60.0,85.16,India,756273883442,BOB,BOB915091,Inactive
karkiara,adira53@salvi.com,&7FlKA2naH,3465,+910871945215,1982-06-28,Indian,UAHBT5193L,Thane,461896,6a52eb9f-8abb-44cc-b37d-41aeea7c2d55,2499,India,Mobile,Credit Card,170.18,32,Low,False,False,29.14.152.163,Delhi,33.27,19.17,India,931133139689,CITI,CITI519381,Active
zvarkey,riaan86@ganesan.info,q(95Mcb&(N,9962,06503945813,1978-10-17,Indian,OQTAP9073P,Rourkela,305107,def182da-9e7f-428b-8a23-540b8e968c89,4939,India,Desktop,Net Banking,472.99,68,High,False,False,61.118.117.65,Delhi,22.86,37.05,India,266371731718,SBI,SBI117246,Active
sachdevparinaaz,krishnanreyansh@butala-keer.org,9ol8xW8sY@,6028,1669296099,1973-10-09,Indian,BMKNC9472Y,Bilaspur,314383,1295e279-4b31-47b2-a478-aa6c588d161e,2649,India,Tablet,Net Banking,219.82,66,High,False,False,27.6.107.43,Mumbai,79.24,60.44,India,947895613784,PNB,PNB245185,Active
hiran11,sratti@yahoo.com,i3Bu2hJp(s,4912,02050649938,1978-04-26,Indian,SOBSV5007I,Davanagere,912059,a1c1c646-e814-4125-bbe4-1da1dce819b5,978,India,Desktop,Credit Card,380.98,76,Medium,False,False,20.54.182.85,Chennai,80.24,28.14,India,164757899782,SBI,SBI540301,Active
benritvik,manjaritandon@chowdhury.org,bvVaDbXY$5,3268,08096903979,1990-05-26,Indian,UAPPY2116K,Satna,139383,e5214162-50fd-4787-898b-caf49a6afe4b,4924,India,Tablet,Debit Card,908.28,50,High,False,False,54.134.9.82,India,43.47,73.65,India,900702742808,BOB,BOB800516,Active
riya23,vaidyaindranil@yahoo.com,%l!ZCsRp7R,6269,01475843359,1983-08-25,Indian,MVGWJ2325E,Jaunpur,296505,20f647fe-cc28-4cf7-b7b6-b77b8f54d5f2,4577,India,Mobile,Net Banking,266.36,8,Low,False,False,179.72.191.197,Delhi,49.71,28.2,India,775772284066,SBI,SBI735829,Active
riaanbansal,msandhu@hotmail.com,+J5Vrj3$8e,3516,05182320979,2006-12-12,Indian,LGGVA9633Y,Gaya,619162,1264d0c8-00db-44d2-b2be-8ef7f01b3d3f,1896,India,Desktop,UPI,232.66,5,Low,False,False,59.51.134.219,Kolkata,53.57,52.2,India,508636921285,AXIS,AXIS480658,Active
aarna74,dyalsiya@sundaram-anne.com,$sHbNcc&i8,1654,+911465294953,1960-06-28,Indian,TXSIJ7892L,Kamarhati,203887,0f70203c-8ea0-429f-b07e-f296ada809bd,3383,India,Mobile,Net Banking,493.94,64,Low,False,False,164.88.102.49,Bangalore,31.33,20.85,India,904365472981,HDFC,HDFC509516,Active
jhanvi70,manikya21@yahoo.com,SMje^UVa*8,2252,0846421934,1997-12-31,Indian,NXOWH3078O,Etawah,814058,9ed3c03a-fa22-42ec-8f7a-630c9d2ad658,1331,India,Desktop,Credit Card,107.47,96,Low,False,False,24.49.190.155,India,71.98,59.04,India,975946126317,BOB,BOB176495,Active
osachar,kulkarnipiya@singh-ratti.net,__1GX1jo%+,3698,+917196625713,1997-01-02,Indian,CNNPW5526M,Panihati,848619,dd087b82-315d-4494-8f58-bc1011e33a8a,4848,India,Mobile,Debit Card,315.15,16,Medium,False,False,166.237.153.66,Mumbai,62.53,89.05,India,327977630085,BOB,BOB120433,Suspended
ladahana,shraydave@gmail.com,&8k$FnjH8d,5790,4038693780,1983-10-07,Indian,THVYA9503B,Eluru,702955,33a0c590-9398-4dc2-a888-b8906fcaa9a1,56,India,Tablet,Net Banking,856.8,35,High,False,False,179.88.169.152,India,20.56,43.31,India,752293161982,PNB,PNB614564,Active
prerak79,wgrover@yahoo.com,)6O)GOb#W1,6983,08263585806,1997-11-24,Indian,DHIKF5729B,Panihati,523508,c302e466-1032-4fd2-8f16-842a8b91f4f2,1668,India,Tablet,Net Banking,301.16,11,Medium,False,False,159.229.79.92,Chennai,31.7,41.96,India,991757299136,HSBC,HSBC803765,Active
aroramannat,ranbir65@varghese.com,0Uac5xrtG@,8586,+913500894559,2004-03-03,Indian,ZCJLV8827Q,Anand,413620,2bbffdf8-e449-4cfd-b374-a91169771331,2304,India,Mobile,Credit Card,698.2,44,Medium,False,False,205.37.87.170,Bangalore,96.69,10.68,India,303547768879,BOB,BOB638686,Active
uthkarshbarad,krish31@kibe.net,(C#P2PuYgy,7391,08421768301,2001-11-28,Indian,NYDJA6824J,Jodhpur,782551,b9c0e219-f040-473c-9687-3fd28c088e07,2875,India,Tablet,Credit Card,425.91,66,High,False,False,56.240.121.90,Delhi,25.71,95.24,India,566431094938,ICICI,ICICI928738,Suspended
raghav22,lverma@kibe-saraf.com,o(6dgFbtm^,3197,9298161523,1977-12-23,Indian,QZVYN6819X,Agartala,908024,a4917ad3-4000-46f8-be35-6310c07afdf0,4149,India,Mobile,UPI,218.5,44,Low,False,False,199.31.227.139,Mumbai,46.91,30.58,India,145743604325,CITI,CITI994282,Active
udar,fkothari@sangha.com,_xG2Rehyc$,8590,+915154074085,1976-10-28,Indian,IMJEP3375X,Kolhapur,602618,468d7e15-08bd-43b0-8f26-aaab5ca91186,4325,India,Tablet,UPI,406.08,95,Low,False,False,50.177.223.105,Delhi,24.2,29.53,India,499720349488,AXIS,AXIS553991,Active
ochand,manddhruv@mane.com,dv%PH6Ak5&,9746,+914964632060,1961-11-03,Indian,EBMSO3913O,Karnal,970985,515622e8-435e-42fa-b580-40003e2589ec,4642,India,Mobile,UPI,170.62,66,Medium,False,False,54.183.125.67,Bangalore,20.52,72.49,India,371228372304,SBI,SBI187465,Suspended
aniruddhdesai,kdhar@shanker-tailor.org,O5z4Nbo)%E,7420,+916391006701,1970-07-18,Indian,CTISE0555L,Mathura,245968,cc475805-66cf-4029-8010-c2d9e160a3ea,761,India,Desktop,Net Banking,543.4,35,Low,False,False,198.29.43.24,Kolkata,46.45,18.48,India,727004404063,PNB,PNB919587,Active
tanya75,htandon@gmail.com,@@ii1Qtpi7,3243,+911088243034,1991-08-17,Indian,JAEOE1948H,Anantapuram,588218,17ab5f6c-f830-45fd-9515-d277ae135b5c,4322,India,Tablet,UPI,534.47,11,Low,False,False,146.199.30.208,India,40.74,68.0,India,322428143291,AXIS,AXIS311547,Active
taransagar,mandalhridaan@sibal-venkatesh.biz,_aKG3pFqr4,8622,06188917838,1992-05-13,Indian,JZBFP7789C,Jalandhar,570631,9365e015-49ff-4ca2-a3ad-1cfadc332d8b,1380,India,Desktop,UPI,797.75,20,Medium,False,False,173.24.133.164,Delhi,19.49,14.28,India,973026125196,PNB,PNB769127,Active
